College ID,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,State,College Type,Management Type,Expected Salary,Salary Tier,Entrance Test
U-0573,Indian Institute Of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2021,2021,West Bengal,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1767753,1,JEE Advanced
U-0946,Indian Institute Of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2023,2023,Chhattisgarh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1218966,1,JEE Advanced
U-0584,Indian Institute Of Engineering Science and Technology Shibpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1483,2024,West Bengal,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,704961,1,JEE Main
U-0306,Indian Institute Of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,1688,2025,Maharashtra,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1880000,1,JEE Advanced
U-0355,Indian Institute Of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1423,2026,Odisha,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1481100,1,JEE Advanced
U-0517,Indian Institute Of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1541,2026,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2192875,1,JEE Advanced
U-0573,Indian Institute Of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,1632,2027,West Bengal,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1767753,1,JEE Advanced
U-0237,National Institute Of Technology Karnataka Surathkal,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,2028,2028,Karnataka,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1170751,1,JEE Main
U-0306,Indian Institute Of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1725,2029,Maharashtra,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1880000,1,JEE Advanced
U-0189,National Institute Of Technology Hamirpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1568,2029,Himachal Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,597847,2,JEE Main
U-0455,Indian Institute Of Information Technology Design And Manufacturing Kancheepuram,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,2030,2030,Tamil Nadu,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,957174,1,JEE Main
U-0395,Indian Institute Of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1905,2031,Rajasthan,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1500000,1,JEE Advanced
U-0560,Indian Institute Of Technology Roorkee,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1495,2033,Uttarakhand,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1700000,1,JEE Advanced
U-0878,Indian Institute Of Technology Palakkad,"Data Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2033,2033,Kerala,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,987720,1,JEE Advanced
U-0374,Dr B R Ambedkar National Institute Of Technology Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Female-only (including Supernumerary),2033,2033,Punjab,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,855627,1,JEE Main
U-0467,National Institute Of Technology Tiruchirappalli,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),1641,2035,Tamil Nadu,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1057320,1,JEE Main
U-0799,Indian Institute Of Information Technology Kota,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),2035,2035,Rajasthan,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1035135,1,JEE Main
U-0055,National Institute Of Technology Silchar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1750,2038,Assam,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1031250,1,JEE Main
U-0410,Malaviya National Institute Of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,2039,2039,Rajasthan,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,763650,1,JEE Main
U-0878,Indian Institute Of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1886,2040,Kerala,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,987720,1,JEE Advanced
U-0064,Indian Institute Of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2041,2041,Bihar,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2000000,1,JEE Advanced
U-0456,Indian Institute Of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,820,2042,Tamil Nadu,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1628770,1,JEE Advanced
U-0701,Indian Institute Of Technology (Banaras Hindu University) Varanasi,"Ceramic Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1838,2044,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1533760,1,JEE Advanced
U-0855,National Institute Of Technology Andhra Pradesh,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1990,2044,Andhra Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,540550,2,JEE Main
